CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
210047505,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,100 BLOCK ALLEN DR,ANN ARBOR,2021-12-21 20:47:00,ASSAULT - SIMPLE,-83.77267119899994,42.28300860100006
210047490,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,100 BLOCK GLENDALE DR,ANN ARBOR,2021-12-21 17:00:00,ASSAULT - SIMPLE,-83.77155140099995,42.28248750000006
210047566,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2900 BLOCK BIRCH HOLLOW DR,ANN ARBOR,2021-12-22 01:00:00,LARCENY - FROM AUTO (LFA),-83.72280909899996,42.23798410000006
210047718,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3500 BLOCK WASHTENAW AVE,ANN ARBOR,2021-12-23 16:18:00,ASSAULT - SIMPLE,-83.68941459999996,42.25662090000003
210047718,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,3500 BLOCK WASHTENAW AVE,ANN ARBOR,2021-12-23 16:18:00,LARCENY - ALL OTHER,-83.68941459999996,42.25662090000003
210047602,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2400 BLOCK SHADOWOOD DR,ANN ARBOR,2021-12-22 06:37:30,LARCENY - FROM AUTO (LFA),-83.71235029899998,42.23293710000007
210046800,CREDIT CARD/ATM,2605,FRAUD - ILLEGAL USE OF CREDIT CARD,A,100 BLOCK E WILLIAM ST,ANN ARBOR,2021-12-16 17:00:00,FRAUD,-83.78625269899999,42.26918800100003
210047753,EXTORTION/BLACKMAIL,2199,EXTORTION (OTHER),A,2000 BLOCK ABBOTT AVE,ANN ARBOR,2021-12-23 22:15:00,EXTORTION - BLACKMAIL,-83.77412279999999,42.27975050100008
210047678,BURGLARY/BREAKING & ENTERING,2202,B&E - BURGLARY - FORCED ENTRY - RESIDENCE - HOME INVASION,A,2000 BLOCK COMMERCE DR,ANN ARBOR,2021-12-23 12:26:00,BURGLARY - RESIDENTIAL,-83.77743239999995,42.26943870000008
210047655,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3200 BLOCK E EISENHOWER PKWY,ANN ARBOR,2021-12-23 07:05:00,ASSAULT - SIMPLE,-83.71435100099995,42.24358840000008
